"","McAllister.LTS.JH22","McAllister.LTS.JH23","McAllister.LTS.JH24","McAllister.LTS.JH25","McAllister.LTS.JH26","McAllister.LTS.JH27","McAllister.LTS.JH28","McAllister.LTS.JH29","McAllister.LTS.JH30","McAllister.LTS.JH31","McAllister.LTS.JH32","McAllister.LTS.JH33","McAllister.LTS.JH34","McAllister.LTS.JH35","McAllister.LTS.JH36","McAllister.LTS.MD1","McAllister.LTS.MD10","McAllister.LTS.MD11","McAllister.LTS.MD12","McAllister.LTS.MD13","McAllister.LTS.MD14","McAllister.LTS.MD15","McAllister.LTS.MD16","McAllister.LTS.MD17","McAllister.LTS.MD18","McAllister.LTS.MD19","McAllister.LTS.MD2","McAllister.LTS.MD20","McAllister.LTS.MD21","McAllister.LTS.MD3","McAllister.LTS.MD4","McAllister.LTS.MD5","McAllister.LTS.MD6","McAllister.LTS.MD7","McAllister.LTS.MD8","McAllister.LTS.MD9","McAllister.STS.JH23","McAllister.STS.JH24","McAllister.STS.JH25","McAllister.STS.JH26","McAllister.STS.JH27","McAllister.STS.JH28","McAllister.STS.JH29","McAllister.STS.JH30","McAllister.STS.JH31","McAllister.STS.JH32","McAllister.STS.MD1","McAllister.STS.MD10","McAllister.STS.MD11","McAllister.STS.MD12","McAllister.STS.MD13","McAllister.STS.MD14","McAllister.STS.MD15","McAllister.STS.MD16","McAllister.STS.MD17","McAllister.STS.MD18","McAllister.STS.MD19","McAllister.STS.MD2","McAllister.STS.MD20","McAllister.STS.MD21","McAllister.STS.MD22","McAllister.STS.MD3","McAllister.STS.MD4","McAllister.STS.MD5","McAllister.STS.MD6","McAllister.STS.MD7","McAllister.STS.MD8","McAllister.STS.MD9"
"Zotu.0097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2333,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"Zotu.0098",0,0,618,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,1,0,0,0,0,0,110,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,438,0,0,0,19,0,0,0,845,0,0,125
"Zotu.0099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,113,0,95,34,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,106,474,0,0,0,223,0,0,0
"Zotu.0100",0,0,0,0,0,0,0,0,0,33,0,2,0,1,0,0,0,0,153,0,0,0,0,0,0,0,26,0,0,361,80,0,329,0,0,0,219,89,0,0,0,0,0,76,306,0,0,175,159,0,580,0,0,0,0,0,0,11,0,0,0,0,0,49,0,0,0,0
"Zotu.0101",4,114,153,78,0,14,21,0,237,31,95,54,28,4,22,1,8,11,0,12,22,48,16,0,84,194,14,27,24,124,0,56,6,46,7,42,2,3,0,0,20,6,6,2,16,22,44,114,0,7,1,0,5,14,0,1,3,29,55,7,9,0,41,32,5,38,100,187
"Zotu.0102",0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,160,0,0,36,124,0,53,0,0,0,0,32,0,108,392,390,114,60,569,64,185,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Zotu.0103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,117,1888,0,447,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Zotu.0104",0,0,0,160,0,0,266,0,1,0,0,0,0,0,0,2,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,447,0,0,0,0,534,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,208,0
"Zotu.0105",0,0,0,0,0,374,0,0,1,0,836,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,177,0,205,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,464,0,0,0,45,0,0,0,0,0,0,0,0,3,0,231,0,0,0
"Zotu.0106",0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0,1002,107,0,2,17,0,333,1,9,0,0,0,85,34,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,254,131,0,0,0,0,0
